Ind#:38491, Id(NED): WISEA J134133.37-002432.1
Ind#:38612, Id(SIMBAD): 3C 343
Ind#:38626, Id(SIMBAD): LEDA 3095998
Ind#:38635, Id(SIMBAD): Mrk   22
Ind#:38636, Id(SIMBAD): Mrk 1066
Ind#:39135, Id(SIMBAD): 2XMM J135315.8+634546
Ind#:39136, Id(SIMBAD): 2E  2389
Ind#:41589, Id(NED): WISEA J010835.15+214818.5
Ind#:41735, Id(SIMBAD): 3C 234.0
Ind#:41915, Id(NED): WISEA J105144.24+353930.7
Ind#:42045, Id(SIMBAD): 2MASX J12135486+0247529
Ind#:42459, Id(SIMBAD): LEDA   90127
Ind#:42638, Id(SIMBAD): MCG+00-25-010
Ind#:42771, Id(SIMBAD): UGC 11680
Ind#:42772, Id(NED): WISEA J222554.26+195836.9
Ind#:43648, Id(SIMBAD): ESO 148-2

Total objects with emission of NeII or NeIII or NeV lines found:  347
Execution Time(seg): 2142.4180958271027
Execution Time(min): 35.70696826378504
Execution Time(hrs): 0.5951161377297507
